Date,Rain,year
2016-06-13,0.0,16
2016-06-14,0.0,16
2016-06-15,0.0,16
2016-06-16,0.0,16
2016-06-17,0.0,16
2016-06-18,0.0,16
2016-06-19,0.0,16
2016-06-20,0.0,16
2016-06-21,4.0,16
2016-06-22,0.6,16
2016-06-23,0.9,16
2016-06-24,13.1,16
2016-06-25,9.8,16
2016-06-26,1.3,16
2016-06-27,0.3,16
2016-06-28,0.6,16
2016-06-29,2.5,16
2016-06-30,10.4,16
2016-07-01,1.4,16
2016-07-02,9.8,16
2016-07-03,0.2,16
2016-07-04,0.1,16
2016-07-05,6.0,16
2016-07-06,0.3,16
2016-07-07,0.0,16
2016-07-08,2.5,16
2016-07-09,0.7,16
2016-07-10,1.7,16
2016-07-11,7.1,16
2016-07-12,13.4,16
2016-07-13,5.5,16
2016-07-14,6.9,16
2016-07-15,0.1,16
2016-07-16,0.0,16
2016-07-17,0.0,16
2016-07-18,2.7,16
2016-07-19,3.0,16
2016-07-20,4.2,16
2016-07-21,3.7,16
2016-07-22,4.7,16
2016-07-23,3.8,16
2016-07-24,4.0,16
2016-07-25,2.6,16
2016-07-26,1.7,16
2016-07-27,2.0,16
2016-07-28,0.7,16
2016-07-29,0.6,16
2016-07-30,2.9,16
2016-07-31,11.3,16
2016-08-01,0.7,16
2016-08-02,0.5,16
2016-08-03,0.1,16
2016-08-04,19.0,16
2016-08-05,14.0,16
2016-08-06,0.0,16
2016-08-07,0.0,16
2016-08-08,1.8,16
2016-08-09,9.8,16
2017-06-05,0.0,17
2017-06-06,0.0,17
2017-06-07,0.0,17
2017-06-08,0.0,17
2017-06-09,0.0,17
2017-06-10,0.0,17
2017-06-11,0.0,17
2017-06-12,5.3,17
2017-06-13,2.6,17
2017-06-14,6.5,17
2017-06-15,3.7,17
2017-06-16,1.5,17
2017-06-17,0.0,17
2017-06-18,0.0,17
2017-06-19,1.2,17
2017-06-20,1.9,17
2017-06-21,5.3,17
2017-06-22,3.0,17
2017-06-23,5.7,17
2017-06-24,9.8,17
2017-06-25,8.0,17
2017-06-26,4.5,17
2017-06-27,6.9,17
2017-06-28,19.3,17
2017-06-29,6.3,17
2017-06-30,2.2,17
2017-07-01,5.6,17
2017-07-02,2.3,17
2017-07-03,0.3,17
2017-07-04,0.2,17
2017-07-05,0.3,17
2017-07-06,0.2,17
2017-07-07,1.0,17
2017-07-08,6.3,17
2017-07-09,8.3,17
2017-07-10,7.4,17
2017-07-11,2.1,17
2017-07-12,2.9,17
2017-07-13,0.8,17
2017-07-14,2.8,17
2017-07-15,0.3,17
2017-07-16,0.0,17
2017-07-17,1.5,17
2017-07-18,10.6,17
2017-07-19,5.0,17
2017-07-20,6.4,17
2017-07-21,13.2,17
2017-07-22,4.2,17
2017-07-23,3.9,17
2017-07-24,11.0,17
2017-07-25,10.5,17
2017-07-26,3.4,17
2017-07-27,2.0,17
2017-07-28,0.8,17
2017-07-29,3.8,17
2017-07-30,1.7,17
2017-07-31,4.1,17
2020-06-10,12.0,20
2020-06-11,10.7,20
2020-06-12,0.8,20
2020-06-13,23.3,20
2020-06-14,12.8,20
2020-06-15,5.1,20
2020-06-16,7.3,20
2020-06-17,25.6,20
2020-06-18,6.7,20
2020-06-19,11.0,20
2020-06-20,0.5,20
2020-06-21,0.2,20
2020-06-22,0.8,20
2020-06-23,0.0,20
2020-06-24,4.2,20
2020-06-25,2.9,20
2020-06-26,8.2,20
2020-06-27,11.3,20
2020-06-28,8.4,20
2020-06-29,22.9,20
2020-06-30,0.0,20
2020-07-01,5.1,20
2020-07-02,8.5,20
2020-07-03,1.9,20
2020-07-04,0.1,20
2020-07-05,0.2,20
2020-07-06,1.9,20
2020-07-07,0.0,20
2020-07-08,0.0,20
2020-07-09,0.0,20
2020-07-10,25.4,20
2020-07-11,22.9,20
2020-07-12,0.0,20
2020-07-13,1.3,20
2020-07-14,3.0,20
2020-07-15,7.5,20
2020-07-16,1.9,20
2020-07-17,1.3,20
2020-07-18,0.0,20
2020-07-19,0.0,20
2020-07-20,0.0,20
2020-07-21,15.4,20
2020-07-22,6.0,20
2020-07-23,3.2,20
2020-07-24,33.5,20
2020-07-25,0.0,20
2020-07-26,1.3,20
2020-07-27,0.0,20
2020-07-28,2.6,20
2020-07-29,9.2,20
2020-07-30,1.6,20
2020-07-31,0.5,20
2020-08-01,1.4,20
2020-08-02,14.8,20
2020-08-03,14.3,20
2020-08-04,4.3,20
2020-08-05,0.0,20
2020-08-06,0.0,20
